IdVenta,IdProducto,IdCliente,IdTiempo,IdGeografia,IdSucursal,IdPromocion,IdMetodoPago,Cantidad,Monto_Bruto,Monto_Descuento,Monto_Neto
60,10,6,20250416,11,1,3,5,5,1950.00,390.0,1560.0
86,3,5,20250323,2,1,3,5,7,35700.00,7140.0,28560.0
134,10,7,20241010,11,1,3,5,7,2730.00,546.0,2184.0
176,6,9,20250528,6,1,3,5,4,840.00,168.0,672.0
353,7,2,20241026,1,1,3,5,2,3700.00,740.0,2960.0
455,7,5,20230302,3,1,3,5,4,7400.00,1480.0,5920.0
591,10,1,20240816,12,1,3,5,2,780.00,156.0,624.0
668,6,1,20231224,7,1,3,5,4,840.00,168.0,672.0
722,8,7,20251126,1,1,3,5,1,950.00,190.0,760.0
818,2,7,20240910,14,1,3,5,2,5000.00,1000.0,4000.0
842,10,3,20240810,10,1,3,5,1,390.00,78.0,312.0
993,4,6,20250605,13,1,3,5,5,1600.00,320.0,1280.0
1004,1,1,20230511,14,1,3,5,5,21000.00,4200.0,16800.0
1035,6,8,20231018,3,1,3,5,7,1470.00,294.0,1176.0
1276,1,3,20231211,8,1,3,5,8,33600.00,6720.0,26880.0
1282,5,2,20230826,2,1,3,5,4,2720.00,544.0,2176.0
1494,5,8,20230301,8,1,3,5,2,1360.00,272.0,1088.0
1546,11,2,20241109,6,1,3,5,8,7600.00,1520.0,6080.0
1599,5,10,20250525,4,1,3,5,7,4760.00,952.0,3808.0
1668,5,8,20250210,4,1,3,5,8,5440.00,1088.0,4352.0
1802,11,1,20240709,7,1,3,5,2,1900.00,380.0,1520.0
1873,8,9,20230510,8,1,3,5,5,4750.00,950.0,3800.0
1986,4,5,20250703,14,1,3,5,6,1920.00,384.0,1536.0
1994,11,6,20230202,5,1,3,5,8,7600.00,1520.0,6080.0
2303,4,9,20230711,9,1,3,5,9,2880.00,576.0,2304.0
2315,6,11,20251221,6,1,3,5,5,1050.00,210.0,840.0
2446,9,7,20250430,7,1,3,5,9,2520.00,504.0,2016.0
2725,1,11,20250620,14,1,3,5,4,16800.00,3360.0,13440.0
2734,7,6,20240605,6,1,3,5,5,9250.00,1850.0,7400.0
2814,4,6,20230117,4,1,3,5,8,2560.00,512.0,2048.0
2869,5,5,20251019,8,1,3,5,9,6120.00,1224.0,4896.0
3151,7,11,20250316,12,1,3,5,9,16650.00,3330.0,13320.0
3154,4,10,20250528,7,1,3,5,8,2560.00,512.0,2048.0
3175,4,6,20230502,11,1,3,5,7,2240.00,448.0,1792.0
3188,3,1,20240417,13,1,3,5,9,45900.00,9180.0,36720.0
3413,11,2,20241126,11,1,3,5,5,4750.00,950.0,3800.0
3442,10,5,20230403,11,1,3,5,9,3510.00,702.0,2808.0
3463,8,4,20241018,8,1,3,5,2,1900.00,380.0,1520.0
3490,1,3,20240915,10,1,3,5,6,25200.00,5040.0,20160.0
3494,5,7,20240803,3,1,3,5,6,4080.00,816.0,3264.0
4064,10,5,20231001,4,1,3,5,8,3120.00,624.0,2496.0
4183,3,10,20241022,15,1,3,5,6,30600.00,6120.0,24480.0
4231,1,5,20250228,3,1,3,5,9,37800.00,7560.0,30240.0
4285,1,7,20251214,8,1,3,5,8,33600.00,6720.0,26880.0
4492,10,4,20240108,7,1,3,5,7,2730.00,546.0,2184.0
4524,9,9,20240807,14,1,3,5,7,1960.00,392.0,1568.0
4534,4,6,20230320,7,1,3,5,2,640.00,128.0,512.0
4558,2,4,20230312,1,1,3,5,5,12500.00,2500.0,10000.0
4567,7,1,20250311,8,1,3,5,8,14800.00,2960.0,11840.0
4680,10,2,20250601,1,1,3,5,9,3510.00,702.0,2808.0
4789,7,11,20240419,7,1,3,5,6,11100.00,2220.0,8880.0
4805,8,10,20230127,3,1,3,5,10,9500.00,1900.0,7600.0
5062,2,4,20230530,9,1,3,5,6,15000.00,3000.0,12000.0
5227,2,8,20251129,6,1,3,5,10,25000.00,5000.0,20000.0
5445,4,6,20241119,11,1,3,5,6,1920.00,384.0,1536.0
5645,5,2,20250619,2,1,3,5,6,4080.00,816.0,3264.0
5699,1,9,20230125,14,1,3,5,9,37800.00,7560.0,30240.0
5717,9,7,20240517,2,1,3,5,4,1120.00,224.0,896.0
5765,4,11,20230708,2,1,3,5,8,2560.00,512.0,2048.0
5822,11,1,20241016,15,1,3,5,1,950.00,190.0,760.0
5824,9,6,20240403,5,1,3,5,2,560.00,112.0,448.0
6020,4,4,20250321,8,1,3,5,5,1600.00,320.0,1280.0
6178,5,5,20230429,8,1,3,5,4,2720.00,544.0,2176.0
6220,5,9,20240130,8,1,3,5,4,2720.00,544.0,2176.0
6244,4,8,20250420,11,1,3,5,3,960.00,192.0,768.0
6274,10,10,20240413,10,1,3,5,5,1950.00,390.0,1560.0
6648,1,9,20251121,13,1,3,5,1,4200.00,840.0,3360.0
6933,7,7,20240625,12,1,3,5,3,5550.00,1110.0,4440.0
6998,6,10,20240222,3,1,3,5,5,1050.00,210.0,840.0
7033,6,4,20230116,9,1,3,5,6,1260.00,252.0,1008.0
7256,6,10,20241109,11,1,3,5,3,630.00,126.0,504.0
7264,7,4,20240623,6,1,3,5,8,14800.00,2960.0,11840.0
7271,4,2,20240504,2,1,3,5,7,2240.00,448.0,1792.0
7598,2,5,20240402,10,1,3,5,8,20000.00,4000.0,16000.0
7643,9,1,20241217,1,1,3,5,10,2800.00,560.0,2240.0
7678,5,10,20241031,6,1,3,5,6,4080.00,816.0,3264.0
7831,4,2,20240929,12,1,3,5,3,960.00,192.0,768.0
7897,4,3,20231116,5,1,3,5,5,1600.00,320.0,1280.0
7914,1,2,20250429,8,1,3,5,4,16800.00,3360.0,13440.0
8015,11,11,20230207,3,1,3,5,10,9500.00,1900.0,7600.0
8196,3,11,20250303,15,1,3,5,6,30600.00,6120.0,24480.0
8300,3,8,20251005,1,1,3,5,10,51000.00,10200.0,40800.0
8388,7,10,20250313,4,1,3,5,5,9250.00,1850.0,7400.0
8465,2,3,20251125,5,1,3,5,4,10000.00,2000.0,8000.0
8532,6,11,20250827,3,1,3,5,4,840.00,168.0,672.0
8620,5,1,20251022,4,1,3,5,2,1360.00,272.0,1088.0
8836,11,5,20240519,4,1,3,5,9,8550.00,1710.0,6840.0
8970,3,8,20240627,2,1,3,5,2,10200.00,2040.0,8160.0
8987,10,5,20250402,1,1,3,5,10,3900.00,780.0,3120.0
9152,10,1,20240129,14,1,3,5,2,780.00,156.0,624.0
9342,6,9,20250714,12,1,3,5,9,1890.00,378.0,1512.0
9376,2,9,20250619,9,1,3,5,8,20000.00,4000.0,16000.0
9401,9,11,20240620,5,1,3,5,6,1680.00,336.0,1344.0
9408,1,8,20230408,3,1,3,5,9,37800.00,7560.0,30240.0
