IdGeografia,Departamento,Provincia,Distrito,Zona_Logistica
1,Lima,Lima,San Isidro,Lima
2,Lima,Lima,Miraflores,Lima
3,Lima,Lima,Los Olivos,Lima
4,Arequipa,Arequipa,Cayma,Sur
5,La Libertad,Trujillo,Victor Larco Herrera,Norte
6,Junin,Huancayo,El Tambo,Centro
7,Cusco,Cusco,Wanchaq,Sur
8,Piura,Piura,Castilla,Norte
9,Lambayeque,Chiclayo,Pimentel,Norte
10,Ica,Ica,Parcona,Centro
11,Ancash,Huaraz,Independencia,Centro
12,Lima,Lima,San Martin de Porres,Lima
13,Lima,Lima,Ate,Lima
14,Cajamarca,Cajamarca,Cajamarca,Centro
15,Puno,Puno,Puno,Sur
